listing_id,date
8739,2012-01-14
8739,2012-01-17
8739,2012-01-20
8739,2012-01-25
8739,2012-01-30
8739,2012-02-28
8739,2012-03-17
8739,2012-03-20
8739,2012-04-15
8739,2012-04-17
8739,2012-04-20
8739,2012-04-23
8739,2012-05-04
8739,2012-05-08
8739,2012-05-12
8739,2012-05-25
8739,2012-06-07
8739,2012-06-14
8739,2012-06-20
8739,2012-06-29
8739,2012-07-05
8739,2012-07-12
8739,2012-07-14
8739,2012-07-23
8739,2012-07-30
8739,2012-08-04
8739,2012-08-09
8739,2012-08-12
8739,2012-08-18
8739,2012-08-24
8739,2012-08-27
8739,2012-08-30
8739,2012-09-07
8739,2012-09-14
8739,2012-09-19
8739,2012-09-26
8739,2012-10-03
8739,2012-10-10
8739,2012-10-12
8739,2012-10-16
8739,2012-10-29
8739,2012-10-31
8739,2012-11-04
8739,2012-11-10
8739,2012-11-13
8739,2012-11-18
8739,2012-12-03
8739,2012-12-18
8739,2012-12-19
8739,2012-12-22
8739,2013-01-07
8739,2013-01-19
8739,2013-01-23
8739,2013-01-30
8739,2013-02-07
8739,2013-02-26
8739,2013-03-03
8739,2013-03-12
8739,2013-03-21
8739,2013-03-26
8739,2013-04-06
8739,2013-04-08
8739,2013-04-15
8739,2013-04-17
8739,2013-04-21
8739,2013-04-24
8739,2013-04-30
8739,2013-05-02
8739,2013-05-12
8739,2013-05-14
8739,2013-05-29
8739,2013-06-09
8739,2013-06-12
8739,2013-06-17
8739,2013-06-21
8739,2013-06-24
8739,2013-07-01
8739,2013-07-04
8739,2013-07-13
8739,2013-07-15
8739,2013-07-20
8739,2013-07-26
8739,2013-07-29
8739,2013-07-30
8739,2013-08-01
8739,2013-08-04
8739,2013-08-06
8739,2013-08-10
8739,2013-08-20
8739,2013-08-24
8739,2013-08-26
8739,2013-08-28
8739,2013-09-03
8739,2013-09-11
8739,2013-09-13
8739,2013-09-16
8739,2013-09-27
8739,2013-10-01
8739,2013-10-06
8739,2013-10-07
8739,2013-10-10
8739,2013-10-14
8739,2013-10-24
8739,2013-11-01
8739,2013-11-05
8739,2013-11-16
8739,2013-11-22
8739,2013-11-27
8739,2013-12-11
8739,2014-01-01
8739,2014-01-16
8739,2014-01-22
8739,2014-01-27
8739,2014-02-15
8739,2014-02-18
8739,2014-02-21
8739,2014-03-05
8739,2014-03-11
8739,2014-03-17
8739,2014-03-23
8739,2014-03-25
8739,2014-04-08
8739,2014-04-19
8739,2014-04-25
