id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15416919,family loft in centre on canal,10605481,Mirjam,,De Baarsjes - Oud-West,52.369436783295676,4.8735923842364715,Entire home/apt,250,4,2,2017-01-02,0.47,1,64
9223760,Cozy empty room with balcony near Centrum,45344564,Marcel,,De Baarsjes - Oud-West,52.3667294334567,4.865582616015585,Private room,69,1,17,2017-01-29,1.01,2,0
1326658,"Central light apartment, 2-4 p.",6469405,Fidel,,De Baarsjes - Oud-West,52.367019367739175,4.8758759205834075,Private room,100,3,63,2017-03-06,1.39,1,55
13138677,Spacious & supurb family house in Amsterdam West,23156884,Dirk.Jacob,,De Baarsjes - Oud-West,52.3674449033924,4.854906051488273,Entire home/apt,150,2,3,2016-08-12,0.37,1,0
11773527,Modern Apt + Centre+ 2 Bikes,4545258,Kim,,De Baarsjes - Oud-West,52.37029733321895,4.849237372519538,Entire home/apt,85,2,6,2016-09-14,0.47,1,292
11517521,Park view room close to city centre,19057802,Hanna,,De Baarsjes - Oud-West,52.36681597159271,4.850861058249379,Private room,90,1,3,2017-03-26,0.24,1,8
2633582,Your second home in Amsterdam ,3721901,René,,De Baarsjes - Oud-West,52.36164262283056,4.873643099057115,Entire home/apt,97,2,135,2017-03-19,3.70,2,7
11614207,cozy bedroom in a canal view apt,45024401,Carla,,De Baarsjes - Oud-West,52.364961849967216,4.856146034810778,Private room,73,1,11,2017-03-12,0.88,1,321
3001581,Spacious apartment in the center!,15298885,Stefan & Caroline,,De Baarsjes - Oud-West,52.363410415536094,4.874024586022868,Entire home/apt,99,3,8,2016-11-14,0.25,1,91
17803888,UNIQUE city center barge,118946082,Cleo,,De Baarsjes - Oud-West,52.371923755485156,4.874166269789711,Entire home/apt,120,3,0,,,7,50
14326318,Modern apartment near vondelpark,87246571,Steven,,De Baarsjes - Oud-West,52.36291836559455,4.853864683475863,Private room,65,2,2,2016-11-15,0.26,1,17
15368844,Charming + Best Location ever!,86982116,Lizzy,,De Baarsjes - Oud-West,52.363644814101434,4.875892859180523,Entire home/apt,120,3,6,2017-01-15,1.29,1,239
12963180,Beautiful apartment near to the famous Vondelpark!,9275200,Emma,,De Baarsjes - Oud-West,52.361532927163275,4.86143297133208,Entire home/apt,120,2,1,2017-01-02,0.33,1,0
3814846,Cosy & Hip Appartment in Oud-West,4838365,Serge,,De Baarsjes - Oud-West,52.36581620535856,4.867227420537117,Entire home/apt,100,1,25,2016-11-19,0.79,1,0
6242853,Modern cosy place nearby Vondelpark,7773805,Marc En Madeleine,,De Baarsjes - Oud-West,52.361961361354126,4.853509647300911,Entire home/apt,99,6,8,2016-10-15,0.35,1,2
16141651,"Central, Bright and Spacious Apartment",24294002,Richard,,De Baarsjes - Oud-West,52.3620658611896,4.864055206678045,Entire home/apt,120,2,1,2017-01-02,0.33,1,283
7781948,"Lovely apartment on canal, 5mins from centre",11172189,David & Caroline,,De Baarsjes - Oud-West,52.3721871879071,4.866410368832976,Entire home/apt,100,2,4,2016-09-25,0.21,1,1
9216119,The Market,7594884,Duco & Lindy,,De Baarsjes - Oud-West,52.366332285689744,4.865934715771391,Entire home/apt,99,4,13,2017-01-01,0.78,28,92
4557044,Private rooms near centre & musea!,23623590,Annemiek & Eric,,De Baarsjes - Oud-West,52.371889007507725,4.862749874478583,Private room,90,2,46,2016-11-13,1.89,1,42
12604401,Spacious room close to Vondelpark,31661093,Graham,,De Baarsjes - Oud-West,52.35986602726563,4.858692060437544,Private room,49,2,1,2016-05-13,0.09,1,0
4502661,Nice modern apartment in West!,10154967,Rouming,,De Baarsjes - Oud-West,52.36755871700017,4.850349517445221,Entire home/apt,89,4,8,2015-08-17,0.27,2,0
7357283,Nice apartment with Balcony & Jacuzzi,38546846,Frank,,De Baarsjes - Oud-West,52.372364932828,4.850561721001801,Private room,85,2,6,2017-01-02,0.39,1,131
