id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11983792,Full size bed with Private Bathrm,47658166,Nish,,Financial District,37.78517039077507,-122.40455982943826,Private room,85,1,11,2016-11-29,0.91,3,0
15132100,404 - Clean Hotel Room in PERFECT LOCATION,93714995,325,,Financial District,37.79009201244714,-122.40628745597205,Private room,109,1,46,2017-03-30,7.11,13,122
16844263,Beautiful Private Bedroom in FiDi!,91963480,Nima,,Financial District,37.79318944268131,-122.39538438899477,Private room,190,1,4,2017-03-03,2.31,1,343
2925398,Timeshare Hotel/apt at Union Square-2 BR/2 BA!!,14936976,Daniel,,Financial District,37.790083446680136,-122.4059050992481,Entire home/apt,250,1,2,2016-09-04,0.23,1,0
1925714,Modern & Historic in Downtown SF!,995213,Jason,,Financial District,37.797226371812926,-122.40113019284844,Entire home/apt,180,14,23,2016-12-10,0.67,1,246
9823848,Clean spacious room in new Soma apt,7458327,Spencer,,Financial District,37.7850326842741,-122.39827747284879,Private room,200,1,0,,,1,0
14935617,Immaculate New Soma Apartment for Business Travel,93942898,Hannah,,Financial District,37.78901198406523,-122.39422945236946,Entire home/apt,300,2,5,2017-01-07,0.76,1,0
3646019,Downtown Luxury/Views/Amenities/Moscone Center,3054821,Lily,,Financial District,37.78532161074768,-122.4011620706208,Entire home/apt,237,4,6,2017-01-13,0.20,4,355
12853799,Friendly Hostel with Community #10,329072,Darren & Friends,,Financial District,37.79347659214144,-122.40335009378808,Shared room,45,1,18,2017-03-03,1.63,16,269
16605688,Museum Parc: Large Private Room next to Moscone,4582815,Mosconia,,Financial District,37.78463535841448,-122.39866952995504,Private room,180,2,7,2017-03-29,3.56,2,25
16228848,415 - Clean Renovated Room in PERFECT LOCATION,93714995,325,,Financial District,37.78878289836996,-122.40501239714371,Private room,109,1,14,2017-03-27,4.24,13,125
11460984,Great room at top SF Destination,5237239,Jim,,Financial District,37.792459839181326,-122.40073208326346,Private room,225,1,4,2017-02-18,0.30,1,0
6348983,"Luxurious, modern, beautiful",4475312,Elli,,Financial District,37.78980921040465,-122.39468604506827,Private room,220,2,1,2016-08-24,0.14,1,0
13902012,Comfortable Room near Union Square and SOMA,64371505,Qingfeng,,Financial District,37.78595563875234,-122.39834440494442,Private room,95,2,2,2016-08-01,0.24,1,0
1056844,"Couch in sunny, artistic loft",757108,Chantal,,Financial District,37.79009591393883,-122.39593341582462,Shared room,75,3,104,2017-03-03,2.17,2,330
1515494,Great Whole Apartment in SoMa!,6947495,V,,Financial District,37.784848816171625,-122.40004347551594,Entire home/apt,350,3,58,2017-03-11,1.34,1,22
